IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
351230,3512308.0,CONCHAS,-22.965625895632645,-48.04706532808847,0.0,152320.0,0.000406,"Não cumprimento do disposto no art. 14, § 1º, I, II e III da Lei nº 14113/2020",False,0.0
351240,3512407.0,CORDEIRÓPOLIS,-22.47947148369747,-47.41479474510231,0.0,0.0,0.0,,False,0.0
351250,3512506.0,COROADOS,-21.375632022702398,-50.30346410159776,0.0,54000.0,0.000151,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
351270,3512704.0,CORUMBATAÍ,-22.236395030319105,-47.61108081013878,0.0,0.0,0.0,,False,0.0
351280,3512803.0,COSMÓPOLIS,-22.65170019035325,-47.18638879537114,0.0,0.0,0.0,,False,0.0
351290,3512902.0,COSMORAMA,-20.44252704559033,-49.77457805433547,0.0,87190.0,0.0001655,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
351300,3513009.0,COTIA,-23.675130957167895,-46.96044211794979,0.0,2744130.0,0.0067026,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020",False,0.0
351310,3513108.0,CRAVINHOS,-21.33956065331468,-47.744559268625466,0.0,332810.0,0.0008819,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
351320,3513207.0,CRISTAIS PAULISTA,-20.37132030131485,-47.40088579016204,0.0,92720.0,0.0002427,"Não cumprimento do disposto no art. 14, § 1º, I, II e III da Lei nº 14113/2020",False,0.0
351330,3513306.0,CRUZÁLIA,-22.738070568765057,-50.76910993265659,64156.06,0.0,0.0,,True,0.0
351340,3513405.0,CRUZEIRO,-22.551362827547305,-45.00630481042368,0.0,749610.0,0.0017541,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
351350,3513504.0,CUBATÃO,-23.865861755229048,-46.40820331995403,0.0,0.0,0.0,,False,0.0
351360,3513603.0,CUNHA,-23.05288302858338,-44.942119319966125,0.0,221100.0,0.0005592,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
351370,3513702.0,DESCALVADO,-21.881201876208745,-47.6546268026342,0.0,317560.0,0.0008392,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
